Wavelength,Absorbance
2738.394,0.014
2736.466,0.014
2734.537,0.014
2732.609,0.014
2730.680,0.014
2728.752,0.014
2726.823,0.013
2724.895,0.013
2722.967,0.013
2721.038,0.013
2719.110,0.013
2717.181,0.012
2715.253,0.012
2713.324,0.012
2711.396,0.012
2709.468,0.012
2707.539,0.012
2705.611,0.012
2703.682,0.012
2701.754,0.012
2699.825,0.012
2697.897,0.012
2695.968,0.012
2694.040,0.012
2692.111,0.012
2690.183,0.012
2688.255,0.011
2686.326,0.011
2684.398,0.011
2682.469,0.011
2680.541,0.011
2678.612,0.011
2676.684,0.011
2674.755,0.011
2672.827,0.011
2670.898,0.011
2668.970,0.011
2667.042,0.011
2665.113,0.011
2663.185,0.011
2661.256,0.011
2659.328,0.011
2657.399,0.011
2655.471,0.011
2653.542,0.011
2651.614,0.011
2649.686,0.011
2647.757,0.011
2645.829,0.011
2643.900,0.011
2641.972,0.011
2640.043,0.011
2638.115,0.010
2636.187,0.010
2634.258,0.010
2632.330,0.010
2630.401,0.010
2628.473,0.010
2626.544,0.010
2624.616,0.010
2622.687,0.010
2620.759,0.010
2618.831,0.010
2616.902,0.010
2614.974,0.010
2613.045,0.010
2611.117,0.010
2609.188,0.010
2607.260,0.010
2605.331,0.009
2603.403,0.010
2601.474,0.010
2599.546,0.010
2597.618,0.010
2595.689,0.010
2593.761,0.010
2591.832,0.010
2589.904,0.010
2587.975,0.010
2586.047,0.009
2584.118,0.009
2582.190,0.009
2580.261,0.009
2578.333,0.009
2576.405,0.010
2574.476,0.010
2572.548,0.010
2570.619,0.010
2568.691,0.010
2566.762,0.010
2564.834,0.010
2562.906,0.010
2560.977,0.010
2559.049,0.010
2557.120,0.010
2555.192,0.010
2553.263,0.009
2551.335,0.009
2549.406,0.009
2547.478,0.009
2545.550,0.009
2543.621,0.009
2541.693,0.009
2539.764,0.009
2537.836,0.009
2535.907,0.009
2533.979,0.009
2532.050,0.009
2530.122,0.009
2528.193,0.009
2526.265,0.009
2524.337,0.009
2522.408,0.010
2520.480,0.010
2518.551,0.010
2516.623,0.010
2514.694,0.010
2512.766,0.010
2510.837,0.010
2508.909,0.010
2506.980,0.010
2505.052,0.010
2503.124,0.010
2501.195,0.010
2499.267,0.010
2497.338,0.010
2495.410,0.010
2493.481,0.010
2491.553,0.010
2489.625,0.010
2487.696,0.010
2485.768,0.010
2483.839,0.010
2481.911,0.010
2479.982,0.010
2478.054,0.010
2476.125,0.009
2474.197,0.009
2472.269,0.009
2470.340,0.009
2468.412,0.009
2466.483,0.009
2464.555,0.009
2462.626,0.009
2460.698,0.009
2458.770,0.009
2456.841,0.009
2454.913,0.009
2452.984,0.009
2451.056,0.009
2449.127,0.009
2447.199,0.009
2445.270,0.009
2443.342,0.010
2441.413,0.010
2439.485,0.010
2437.556,0.010
2435.628,0.010
2433.700,0.010
2431.771,0.009
2429.843,0.009
2427.914,0.009
2425.986,0.009
2424.057,0.009
2422.129,0.009
2420.200,0.009
2418.272,0.009
2416.344,0.009
2414.415,0.009
2412.487,0.009
2410.558,0.009
2408.630,0.009
2406.701,0.009
2404.773,0.009
2402.844,0.009
2400.916,0.009
2398.988,0.009
2397.059,0.009
2395.131,0.009
2393.202,0.009
2391.274,0.009
2389.345,0.011
2387.417,0.014
2385.489,0.019
2383.560,0.026
2381.632,0.036
2379.703,0.047
2377.775,0.060
2375.846,0.075
2373.918,0.093
2371.989,0.112
2370.061,0.132
2368.132,0.153
2366.204,0.171
2364.276,0.187
2362.347,0.197
2360.419,0.199
2358.490,0.194
2356.562,0.181
2354.633,0.163
2352.705,0.145
2350.776,0.132
2348.848,0.125
2346.919,0.126
2344.991,0.131
2343.062,0.138
2341.134,0.145
2339.206,0.148
2337.277,0.148
2335.349,0.144
2333.420,0.140
2331.492,0.136
2329.563,0.132
2327.635,0.128
2325.707,0.122
2323.778,0.114
2321.850,0.105
2319.921,0.096
2317.993,0.088
2316.064,0.080
2314.136,0.074
2312.208,0.068
2310.279,0.063
2308.351,0.058
2306.422,0.053
2304.494,0.048
2302.565,0.043
2300.637,0.039
2298.708,0.035
2296.780,0.032
2294.851,0.029
2292.923,0.025
2290.995,0.022
2289.066,0.019
2287.138,0.017
2285.209,0.015
2283.281,0.014
2281.352,0.014
2279.424,0.014
2277.495,0.014
2275.567,0.014
2273.638,0.014
2271.710,0.015
2269.782,0.014
2267.853,0.014
2265.925,0.015
2263.996,0.014
2262.068,0.014
2260.139,0.014
2258.211,0.013
2256.282,0.012
2254.354,0.011
2252.426,0.011
2250.497,0.010
2248.569,0.010
2246.640,0.009
2244.712,0.008
2242.783,0.008
2240.855,0.007
2238.927,0.007
2236.998,0.007
2235.070,0.007
2233.141,0.008
2231.213,0.008
2229.284,0.008
2227.356,0.008
2225.427,0.008
2223.499,0.008
2221.571,0.008
2219.642,0.007
2217.714,0.007
2215.785,0.006
2213.857,0.006
2211.928,0.006
2210.000,0.005
2208.071,0.004
2206.143,0.004
2204.214,0.003
2202.286,0.003
2200.358,0.003
2198.429,0.003
2196.501,0.004
2194.572,0.005
2192.644,0.007
2190.715,0.008
2188.787,0.008
2186.858,0.009
2184.930,0.009
2183.001,0.009
2181.073,0.007
2179.145,0.005
2177.216,0.004
2175.288,0.003
2173.359,0.002
2171.431,0.002
2169.502,0.002
2167.574,0.003
2165.646,0.006
2163.717,0.007
2161.789,0.008
2159.860,0.008
2157.932,0.008
2156.003,0.008
2154.075,0.007
2152.146,0.006
2150.218,0.005
2148.290,0.004
2146.361,0.003
2144.433,0.002
2142.504,0.001
2140.576,0.001
2138.647,0.001
2136.719,0.001
2134.790,0.002
2132.862,0.003
2130.934,0.005
2129.005,0.005
2127.077,0.006
2125.148,0.007
2123.220,0.008
2121.291,0.008
2119.363,0.008
2117.434,0.007
2115.506,0.007
2113.577,0.006
2111.649,0.006
2109.720,0.006
2107.792,0.006
2105.864,0.007
2103.935,0.007
2102.007,0.008
2100.078,0.008
2098.150,0.007
2096.221,0.007
2094.293,0.007
2092.365,0.007
2090.436,0.007
2088.508,0.007
2086.579,0.007
2084.651,0.006
2082.722,0.006
2080.794,0.005
2078.865,0.006
2076.937,0.006
2075.009,0.007
2073.080,0.007
2071.152,0.008
2069.223,0.008
2067.295,0.008
2065.366,0.009
2063.438,0.009
2061.510,0.008
2059.581,0.008
2057.653,0.007
2055.724,0.007
2053.796,0.007
2051.867,0.007
2049.939,0.007
2048.010,0.007
2046.082,0.007
2044.153,0.007
2042.225,0.006
2040.297,0.005
2038.368,0.004
2036.440,0.005
2034.511,0.005
2032.583,0.006
2030.654,0.005
2028.726,0.004
2026.797,0.002
2024.869,0.001
2022.940,0.000
2021.012,0.000
2019.084,0.002
2017.155,0.004
2015.227,0.006
2013.298,0.008
2011.370,0.008
2009.441,0.009
2007.513,0.009
2005.584,0.010
2003.656,0.010
2001.728,0.009
1999.799,0.008
1997.871,0.008
1995.942,0.007
1994.014,0.006
1992.085,0.006
1990.157,0.006
1988.228,0.007
1986.300,0.007
1984.372,0.006
1982.443,0.006
1980.515,0.005
1978.586,0.005
1976.658,0.004
1974.729,0.003
1972.801,0.002
1970.872,0.001
1968.944,0.002
1967.016,0.002
1965.087,0.003
1963.159,0.004
1961.230,0.005
1959.302,0.005
1957.373,0.005
1955.445,0.005
1953.516,0.005
1951.588,0.005
1949.660,0.005
1947.731,0.006
1945.803,0.006
1943.874,0.006
1941.946,0.006
1940.017,0.006
1938.089,0.007
1936.160,0.007
1934.232,0.007
1932.303,0.007
